gill-color,gill-size,spore-print-color,stalk-surface-above-ring,is_poisonous,height
p,b,k,f,0,5.1
w,b,n,s,0,4.9
p,n,n,s,1,6.3
g,n,n,s,0,6.0
w,b,n,s,0,5.8
n,b,n,s,0,4.7
k,b,n,s,0,6.2
k,n,n,s,0,5.8
w,b,k,s,0,5.5
g,b,k,s,0,3.9
g,b,n,s,0,5.3
w,b,n,s,0,5.1
k,n,k,s,1,5.3
n,b,n,s,0,6.0
n,b,n,s,0,5.6
w,n,u,s,0,4.5
g,n,k,s,0,4.9
p,b,k,s,0,6.2
g,b,n,s,0,4.5
k,b,n,s,0,3.9
w,n,k,s,1,4.4
n,b,k,s,0,4.3
w,n,k,s,1,4.6
k,b,n,s,0,5.0
k,b,n,s,0,2.8
n,b,n,s,0,5.2
w,b,n,s,0,5.6
w,b,n,s,0,4.7
w,b,n,s,0,3.6
h,b,k,s,0,3.3
k,b,n,s,0,5.1
w,n,n,s,1,4.5
n,b,n,s,0,3.0
p,n,n,s,0,3.5
k,b,k,s,0,3.8
n,b,k,s,0,6.3
n,b,k,s,0,4.5
g,b,k,s,0,6.5
g,b,k,s,0,6.1
n,b,n,s,0,6.3
p,n,n,s,0,4.9
g,n,k,s,0,3.6
n,b,k,s,0,5.1
n,b,k,s,0,3.4
k,b,n,s,0,4.4
g,b,k,s,0,4.7
g,b,n,s,0,5.3
k,b,k,s,0,5.5
p,b,k,f,0,5.2
p,n,n,s,0,4.4
p,n,k,s,1,5.3
k,b,k,f,0,2.3
w,b,k,s,0,5.2
w,n,n,s,0,6.4
n,b,k,s,0,4.4
g,b,k,s,0,6.3
p,b,n,s,0,5.5
k,b,n,s,0,5.5
g,b,n,s,0,5.4
p,b,k,s,0,6.1
n,b,n,s,0,6.1
w,b,k,s,0,5.8
n,n,n,s,1,5.4
n,b,k,s,0,4.7
p,n,n,s,0,5.2
g,b,n,s,0,3.8
k,n,k,s,1,5.0
w,n,n,s,0,4.3
k,b,k,s,0,5.6
n,n,n,s,0,3.8
w,n,n,s,0,4.7
k,b,n,s,0,4.8
w,n,u,s,0,5.9
w,b,k,s,0,3.9
n,b,k,s,0,6.2
p,b,n,s,0,6.4
k,b,k,s,0,3.1
n,b,n,s,0,6.4
n,n,n,s,1,4.2
w,b,k,s,0,4.0
g,b,k,s,0,5.3
w,n,k,s,1,4.2
n,b,k,s,0,4.5
w,b,n,s,0,6.4
n,b,k,s,0,5.0
g,b,n,s,0,3.4
p,b,k,s,0,5.9
w,b,k,s,0,4.3
n,b,n,s,0,3.3
g,n,n,s,0,5.0
n,b,k,s,0,6.5
k,b,n,s,0,4.7
n,b,k,s,0,6.3
g,b,k,s,0,4.1
p,n,n,s,0,5.1
g,b,n,s,0,6.6
n,b,n,s,0,7.6
n,n,n,s,0,6.6
n,b,n,s,0,5.3
n,b,k,s,0,3.0
g,n,n,s,0,5.4
h,b,n,f,0,5.6
p,b,n,s,0,5.8
k,b,n,s,0,6.5
k,b,k,s,0,5.3
w,b,k,s,0,4.6
g,n,n,s,0,5.6
p,b,n,s,0,4.5
k,n,k,s,1,5.0
p,b,n,s,0,3.6
w,b,n,s,0,4.5
h,b,n,s,0,6.0
p,b,k,f,0,6.0
k,b,k,f,0,5.2
n,b,n,s,0,4.4
w,b,k,s,0,7.2
p,n,k,s,0,6.1
w,b,n,s,0,4.0
p,n,u,s,0,4.0
g,b,n,s,0,4.9
n,b,k,s,0,4.8
w,b,n,s,0,4.3
n,b,k,s,0,5.0
w,b,k,s,0,4.4
n,n,n,s,0,5.0
k,b,k,s,0,2.9
n,b,k,s,0,3.2
k,n,k,s,0,5.1
n,b,n,s,0,3.8
k,b,n,s,0,7.4
k,b,n,s,0,4.7
p,n,k,s,1,4.6
k,b,n,f,0,4.7
w,b,k,s,0,4.5
g,b,n,s,0,7.0
n,b,n,s,0,3.9
w,n,n,s,1,4.4
w,b,k,s,0,3.6
n,b,k,s,0,5.2
n,b,k,s,0,4.8
w,b,n,s,0,5.2
n,b,n,s,0,4.6
g,b,k,s,0,4.9
n,b,n,s,0,6.0
k,n,n,s,0,7.2
w,b,k,s,0,5.6
h,b,n,f,0,5.0
k,b,n,s,0,6.2
w,b,n,s,0,3.9
n,n,k,s,0,3.3
p,n,n,s,1,5.0
w,b,n,s,0,4.6
n,b,k,s,0,3.8
p,n,n,s,1,6.2
w,b,n,s,0,6.4
k,b,n,s,0,5.5
n,b,k,s,0,6.1
n,b,n,s,0,5.7
g,b,n,s,0,4.8
g,b,k,s,0,4.8
w,b,n,s,0,4.8
w,b,n,s,0,4.7
n,b,k,f,0,6.4
n,b,n,s,0,6.4
n,b,k,s,0,4.3
k,n,k,s,1,3.6
w,b,n,s,0,4.5
p,n,u,s,0,6.1
w,n,k,s,1,5.8
k,b,k,s,0,4.6
h,b,n,f,0,3.5
n,b,k,s,0,2.9
w,b,n,s,0,4.5
p,n,n,s,1,3.5
w,b,k,s,0,5.1
n,b,n,s,0,6.1
n,n,n,s,0,3.8
n,b,n,s,0,6.6
k,b,n,s,0,4.9
p,b,k,f,0,6.0
n,n,n,s,0,5.7
g,b,n,s,0,5.7
n,b,n,s,0,5.6
g,b,n,s,0,6.1
w,b,k,s,0,4.6
n,n,n,s,0,4.3
w,b,k,s,0,4.8
n,n,u,s,0,5.4
g,b,n,s,0,3.9
k,b,n,s,0,5.0
p,b,n,s,0,3.6
n,b,k,s,0,6.0
g,b,k,s,0,5.5
p,b,k,s,0,3.9
n,b,k,s,0,3.5
w,b,k,s,0,5.3
p,b,k,s,0,5.4
n,b,n,s,0,6.2
n,b,k,s,0,6.3
w,b,k,s,0,4.3
n,b,n,s,0,4.0
k,b,n,s,0,5.6
g,b,k,s,0,4.7
g,b,k,s,0,3.5
p,n,n,s,0,5.9
g,b,n,s,0,4.8
h,b,k,s,0,4.6
k,b,n,s,0,6.5
w,b,k,s,0,5.3
n,b,k,s,0,6.2
w,b,n,s,0,5.6
k,b,n,s,0,4.9
n,b,n,s,0,5.5
g,b,k,s,0,4.4
w,b,n,s,0,4.0
k,n,k,s,0,3.8
p,b,n,s,0,6.8
g,b,k,s,0,5.0
g,b,k,s,0,6.1
g,b,k,s,0,5.9
w,b,n,s,0,4.2
g,b,k,s,0,5.0
w,b,k,s,0,4.5
n,n,u,s,0,4.0
k,n,k,s,0,3.8
n,n,n,s,0,5.0
k,n,k,s,0,3.2
p,n,n,s,0,5.7
w,b,n,s,0,3.1
p,n,n,s,0,3.6
n,b,k,s,0,3.5
k,b,k,s,0,5.7
g,b,k,s,0,4.7
p,n,u,s,0,6.4
g,n,k,s,0,4.0
w,n,n,s,0,4.8
p,b,k,s,0,4.4
w,b,n,s,0,3.5
p,n,n,s,0,5.3
n,b,k,s,0,4.4
n,b,k,s,0,5.1
n,n,u,s,0,3.5
p,n,n,s,1,4.1
k,n,n,s,1,6.1
w,b,n,s,0,7.1
w,b,k,s,0,3.7
k,b,n,s,0,5.7
h,b,n,f,0,4.7
p,b,n,s,0,6.6
n,b,n,s,0,3.4
w,b,k,s,0,5.2
w,b,n,s,0,6.0
g,b,k,s,0,4.9
g,b,k,s,0,3.9
w,b,k,s,0,3.0
w,b,n,s,0,6.1
n,n,n,s,1,5.8
p,b,n,s,0,4.6
p,b,n,f,0,4.7
n,n,n,s,0,4.5
p,n,n,s,0,5.2
k,n,n,s,0,4.1
k,b,k,s,0,5.3
n,n,u,s,0,4.0
n,n,n,s,0,4.8
k,n,n,s,0,5.1
h,b,n,f,0,6.2
n,b,k,s,0,5.1
k,b,k,s,0,4.9
k,b,k,s,0,4.4
k,b,n,s,0,5.3
w,b,k,s,0,5.3
n,b,k,s,0,5.2
p,b,n,s,0,4.3
n,n,n,s,1,4.3
n,n,k,s,0,4.1
w,b,n,s,0,6.3
w,b,n,s,0,7.1
k,b,n,s,0,5.7
k,n,k,s,0,6.3
w,b,n,s,0,5.5
n,b,n,s,0,4.6
n,b,k,s,0,5.3
n,n,k,s,1,4.2
w,b,k,s,0,3.6
k,n,k,s,1,4.9
k,b,k,f,0,5.3
k,b,k,s,0,6.0
p,n,k,s,0,5.6
g,b,n,s,0,3.2
p,n,u,s,0,3.9
n,b,k,s,0,6.0
p,b,k,s,0,6.3
n,n,n,s,1,3.9
p,b,k,s,0,3.5
n,b,k,s,0,4.6
w,b,k,s,0,4.2
g,b,n,s,0,2.9
g,n,n,s,0,3.7
p,n,u,s,0,5.4
g,b,n,s,0,4.3
n,n,n,s,0,3.7
h,b,n,f,0,4.1
p,b,k,s,0,5.6
p,n,n,s,0,3.9
k,b,k,s,0,5.5
p,b,k,s,0,3.9
k,n,k,s,1,7.5
w,n,u,s,0,5.7
w,b,k,s,0,4.9
g,b,n,s,0,6.3
g,b,n,s,0,5.6
w,n,u,s,0,5.2
n,n,u,s,0,5.4
n,b,k,f,0,5.5
w,b,n,s,0,3.3
w,n,k,s,1,5.1
g,b,n,s,0,5.9
k,b,k,s,0,1.6
n,n,n,s,1,3.6
w,b,k,s,0,4.7
k,b,k,s,0,4.9
n,n,n,s,0,4.5
k,b,k,s,0,4.2
w,b,k,s,0,4.2
w,b,n,s,0,6.4
w,b,n,s,0,4.4
p,n,n,s,0,5.8
n,b,n,s,0,6.2
w,b,n,s,0,4.5
w,n,n,s,1,4.9
g,b,n,s,0,6.5
w,b,n,s,0,3.7
k,b,k,s,0,4.5
n,b,n,s,0,4.4
w,b,k,s,0,6.7
k,b,n,s,0,5.6
g,n,k,s,0,2.6
n,n,k,s,0,5.9
n,n,k,s,0,4.2
n,b,k,s,0,3.9
k,n,k,s,1,3.3
h,b,k,s,0,4.8
g,b,k,s,0,4.9
k,n,n,s,1,5.0
g,b,k,s,0,4.7
p,n,k,s,1,4.4
n,b,k,s,0,4.1
g,b,k,s,0,6.7
p,n,n,s,1,4.5
n,n,k,s,1,6.1
n,b,n,s,0,4.9
w,b,n,s,0,6.2
k,b,n,f,0,3.9
n,b,n,s,0,5.1
w,b,k,s,0,3.8
n,b,k,s,0,6.3
n,b,n,s,0,6.4
n,b,k,s,0,5.6
w,b,k,s,0,7.1
n,n,k,s,0,5.4
h,b,n,f,0,4.9
n,b,n,s,0,5.7
p,b,k,s,0,6.3
k,n,n,s,1,4.1
p,b,k,s,0,4.2
g,b,k,s,0,6.4
p,b,k,s,0,4.1
g,b,k,s,0,5.3
n,b,n,s,0,6.0
n,n,n,s,0,4.4
p,b,k,s,0,4.7
w,b,n,s,0,4.5
n,n,u,s,0,4.0
n,b,k,s,0,4.5
p,n,k,s,0,3.6
g,b,k,s,0,5.7
w,n,u,s,0,3.5
p,n,k,s,0,4.8
g,b,n,s,0,5.3
k,b,k,s,0,4.7
n,b,n,s,0,5.9
k,b,k,s,0,3.5
n,b,k,s,0,5.4
n,b,k,s,0,4.4
p,b,n,s,0,4.9
w,b,n,s,0,4.3
p,b,k,s,0,6.5
n,b,k,s,0,7.5
h,b,k,s,0,6.3
g,b,k,s,0,4.3
w,b,k,s,0,5.2
n,b,n,s,0,5.3
w,b,k,s,0,5.8
w,b,k,s,0,5.8
n,b,k,s,0,3.8
n,n,u,s,0,3.8
g,b,k,s,0,4.9
k,b,k,s,0,5.2
n,b,k,s,0,5.6
p,n,u,s,0,4.7
n,b,k,s,0,6.4
n,b,n,s,0,3.5
w,b,k,s,0,5.2
w,n,k,s,1,3.6
w,n,k,s,1,3.9
g,b,n,s,0,4.4
k,b,n,s,0,4.6
g,b,k,s,0,3.6
w,b,k,s,0,6.2
k,n,n,s,0,5.4
n,b,k,s,0,5.6
k,b,k,s,0,4.7
n,n,k,s,1,5.9
k,n,n,s,1,5.2
g,b,n,s,0,5.4
w,b,n,s,0,5.2
w,b,n,s,0,5.3
p,b,n,s,0,4.4
n,b,n,s,0,6.6
w,b,n,s,0,5.2
k,b,k,s,0,4.3
p,n,n,s,0,3.8
p,b,k,s,0,5.2
w,n,u,s,0,5.2
w,b,n,s,0,4.0
g,n,k,s,0,5.1
k,n,n,s,0,5.4
n,b,n,s,0,5.0
w,b,n,s,0,5.5
g,b,k,s,0,4.5
n,n,n,s,0,4.8
n,b,n,s,0,4.2
w,n,u,s,0,5.5
w,b,k,s,0,4.8
p,b,n,s,0,4.4
g,b,k,s,0,4.2
k,n,k,s,0,3.9
n,b,n,s,0,3.3
w,b,k,s,0,5.7
k,b,k,s,0,4.4
w,b,k,s,0,4.9
k,b,k,s,0,4.3
p,b,n,s,0,6.1
k,b,n,f,0,4.4
p,n,n,s,1,6.0
n,b,n,s,0,3.6
w,b,n,s,0,6.1
w,n,k,s,1,3.7
p,n,n,s,1,5.6
n,b,n,f,0,4.7
w,n,k,s,1,6.3
h,b,n,s,0,6.4
n,b,k,s,0,5.6
k,b,k,s,0,7.0
p,b,n,s,0,4.0
p,b,k,s,0,6.1
k,b,k,s,0,3.8
p,n,k,s,0,5.9
k,b,n,s,0,6.0
g,b,k,s,0,5.4
w,b,k,s,0,4.5
p,b,n,f,0,6.7
w,b,n,s,0,4.5
w,b,n,s,0,7.0
k,b,k,s,0,4.2
n,b,n,s,0,6.9
k,b,n,s,0,4.4
n,b,k,s,0,4.5
n,b,n,s,0,4.8
g,n,k,s,0,5.5
n,b,n,s,0,6.5
k,b,k,s,0,4.8
w,n,n,s,0,6.1
p,b,n,s,0,6.9
n,b,k,s,0,5.0
k,n,n,s,1,4.9
w,b,n,s,0,6.1
h,b,n,f,0,5.5
n,b,n,s,0,5.0
w,b,k,s,0,5.4
w,b,k,s,0,5.3
n,b,n,f,0,3.8
k,n,n,s,1,4.0
p,n,k,s,1,3.8
g,b,k,s,0,4.2
w,b,n,s,0,6.7
w,n,n,s,0,5.3
w,n,k,s,1,6.5
g,b,k,s,0,4.6
p,n,k,s,0,4.3
p,n,k,s,0,5.6
n,b,k,s,0,4.0
p,b,k,s,0,5.0
k,b,n,s,0,3.8
n,b,n,s,0,4.7
n,b,n,s,0,4.1
w,b,n,s,0,5.6
w,b,k,s,0,5.1
w,n,n,s,1,4.9
n,n,u,s,0,5.3
n,b,n,s,0,4.2
k,b,n,s,0,3.2
n,n,u,s,0,4.1
w,b,k,s,0,4.6
k,b,n,s,0,6.4
n,b,k,s,0,5.6
n,b,n,s,0,4.3
n,b,n,f,0,5.6
w,b,n,s,0,3.5
n,b,k,s,0,5.5
g,b,n,s,0,3.7
p,b,k,s,0,4.2
g,b,n,s,0,4.4
g,n,n,s,0,5.1
w,b,k,s,0,5.6
k,b,k,s,0,6.3
p,n,n,s,0,3.8
g,n,n,s,0,4.9
g,b,n,s,0,5.6
k,b,k,s,0,4.9
w,b,n,s,0,5.0
k,b,n,s,0,4.8
k,b,k,s,0,6.1
p,n,n,s,0,5.2
h,b,k,f,0,6.7
p,b,n,s,0,6.1
k,n,n,s,1,6.4
p,b,n,s,0,4.4
n,b,n,s,0,4.8
w,b,n,s,0,3.8
w,b,k,s,0,3.5
g,n,k,s,0,5.3
w,b,k,s,0,6.1
n,b,k,s,0,4.6
w,b,k,s,0,6.3
w,n,k,s,1,3.8
n,n,k,s,0,5.2
w,b,n,s,0,4.0
k,n,n,s,1,4.2
p,b,k,s,0,6.4
k,b,n,s,0,5.2
p,b,k,s,0,5.1
k,b,k,s,0,4.6
n,b,n,s,0,3.2
p,n,n,s,1,4.8
n,n,n,s,1,5.7
n,b,k,s,0,5.7
h,b,k,f,0,5.6
k,n,n,s,1,7.4
w,b,n,s,0,3.1
n,b,k,s,0,3.9
w,b,n,s,0,4.6
n,n,n,s,1,4.5
w,b,k,s,0,4.6
k,b,n,s,0,3.6
w,b,k,s,0,6.2
k,b,k,s,0,5.8
p,b,k,s,0,4.4
n,b,n,s,0,4.2
p,n,n,s,0,4.4
g,b,k,s,0,4.7
n,b,k,s,0,5.4
p,n,k,s,1,4.5
w,n,n,s,1,4.4
k,n,k,s,1,5.7
n,b,k,s,0,4.6
p,b,k,s,0,4.6
n,b,k,s,0,4.8
w,n,n,s,0,5.9
k,b,n,s,0,5.5
w,b,n,s,0,5.4
k,n,k,s,0,4.6
n,b,k,s,0,5.4
g,b,n,s,0,6.3
w,b,k,s,0,3.8
w,b,k,s,0,4.7
n,n,n,s,0,4.5
w,n,u,s,0,3.7
g,b,n,s,0,5.7
p,n,u,s,0,4.9
p,n,k,s,0,3.6
w,n,n,s,0,3.8
p,b,k,s,0,3.9
w,b,n,s,0,6.1
p,b,n,s,0,5.2
k,n,n,s,1,5.1
n,b,n,s,0,4.4
p,n,n,s,1,4.5
w,b,k,s,0,6.3
w,b,k,s,0,3.9
w,n,u,s,0,4.8
w,n,n,s,1,6.8
n,b,n,s,0,4.6
n,n,k,s,0,6.1
g,b,k,s,0,5.6
k,b,n,s,0,3.9
n,b,n,s,0,4.6
g,b,n,s,0,4.2
k,b,n,s,0,3.5
w,n,u,s,0,5.5
k,b,n,s,0,5.8
p,b,k,s,0,4.3
g,n,n,s,0,4.5
p,b,n,f,0,4.5
n,n,k,s,0,4.8
p,b,k,s,0,3.3
n,n,u,s,0,3.3
n,b,n,s,0,5.3
k,b,k,s,0,4.5
p,n,k,s,1,4.3
w,b,n,s,0,4.8
w,b,n,s,0,2.9
p,b,n,s,0,5.1
g,b,n,s,0,6.0
w,b,n,s,0,3.1
k,b,k,s,0,5.1
n,n,n,s,0,4.9
p,b,n,s,0,5.5
p,n,n,s,0,5.2
k,b,n,s,0,5.4
p,b,k,s,0,5.5
w,b,n,s,0,3.5
k,b,n,s,0,4.6
n,b,k,s,0,5.4
n,b,n,s,0,4.3
p,b,n,s,0,5.7
k,b,n,s,0,4.6
k,b,k,s,0,4.9
w,b,n,s,0,6.0
n,b,n,s,0,4.1
w,n,n,s,0,5.5
n,b,n,s,0,4.5
w,b,k,s,0,2.4
n,b,k,s,0,4.4
n,b,k,s,0,4.1
p,n,u,s,0,6.7
n,b,n,s,0,6.0
n,b,n,s,0,4.3
w,b,k,s,0,5.0
g,b,n,s,0,5.3
u,b,n,s,0,4.6
p,b,k,s,0,5.4
n,b,k,s,0,5.8
g,b,n,s,0,4.9
k,b,n,s,0,4.5
p,b,n,s,0,5.8
k,b,k,s,0,5.5
k,b,k,s,0,4.2
k,b,k,s,0,5.2
n,b,k,s,0,5.1
n,b,k,s,0,4.5
n,b,n,f,0,4.7
p,b,k,f,0,6.9
h,b,n,f,0,5.4
w,b,n,s,0,7.6
p,b,k,f,0,6.9
n,n,k,s,1,5.6
p,b,n,f,0,4.9
p,n,n,s,1,6.6
w,n,n,s,1,4.3
k,b,k,s,0,5.7
p,b,k,f,0,6.7
g,b,k,s,0,5.6
n,b,k,s,0,6.2
k,b,k,s,0,6.1
k,b,n,s,0,6.5
n,b,n,s,0,4.0
n,b,n,s,0,4.8
k,b,n,f,0,4.8
h,b,k,s,0,6.7
p,b,k,f,0,3.5
p,b,n,f,0,5.8
n,b,k,s,0,6.1
w,n,u,s,0,5.3
k,b,n,f,0,4.3
h,b,n,f,0,6.2
k,b,k,f,0,3.3
w,n,k,s,1,3.8
k,n,n,s,0,5.3
n,b,n,s,0,4.5
h,b,k,s,0,5.1
n,b,n,s,0,5.6
n,n,n,s,1,5.7
k,b,n,s,0,5.3
n,n,k,s,0,6.4
p,b,k,s,0,4.8
w,b,k,s,0,4.2
p,b,k,s,0,4.7
n,b,k,f,0,5.7
u,b,n,s,0,3.6
n,b,n,s,0,2.8
n,b,k,f,0,4.6
w,n,n,s,1,5.5
p,b,n,s,0,4.7
n,b,n,s,0,4.4
h,b,n,f,0,6.4
n,b,k,f,0,4.6
w,b,k,s,0,5.8
n,b,k,f,0,6.4
w,n,n,s,1,4.1
w,n,n,s,1,4.9
n,b,k,s,0,1.6
h,b,n,s,0,6.7
n,b,n,s,0,3.7
h,b,n,f,0,4.6
k,b,k,s,0,4.7
w,n,k,s,1,4.1
n,b,k,s,0,6.0
n,n,u,s,0,8.4
k,b,n,s,0,4.7
n,b,k,f,0,5.5
h,b,k,f,0,4.6
n,b,k,s,0,5.1
n,b,n,s,0,3.6
k,b,k,f,0,3.8
n,b,k,s,0,4.8
w,n,k,s,1,3.9
n,b,k,s,0,5.8
k,b,k,f,0,4.3
k,b,k,s,0,5.7
n,b,n,f,0,3.6
n,b,k,s,0,5.1
n,b,k,s,0,4.9
n,b,k,s,0,3.8
u,b,k,s,0,5.8
p,b,k,f,0,5.1
n,b,k,s,0,5.0
n,b,k,s,0,4.1
k,b,n,s,0,3.6
p,b,k,f,0,4.6
u,b,n,s,0,2.9
g,b,k,s,0,5.5
h,b,k,s,0,3.3
k,b,n,s,0,4.3
n,n,k,s,1,6.5
n,b,n,f,0,6.2
n,b,k,f,0,5.4
n,b,n,s,0,4.1
k,b,k,s,0,4.9
n,b,n,s,0,5.5
n,b,k,s,0,4.5
p,b,k,s,0,2.6
p,b,n,f,0,6.0
n,n,k,s,0,5.0
